player_id,player_name,team_name,role,position,match_id,match_time,match_duration,series_id,series_type,hero_id,hero_name,outcome,kills,deaths,creep_score,gold_per_min,tower_kills,roshan_kills,team_fight,obs_wards_planted,camps_stacked,runes_grabbed,first_blood,stuns,total
86745912,Arteezy,Evil Geniuses,Core,Carry,6213048431,1633627248,2922,601206,1,70,Ursa,Loss,1.2,1.5,1.104,1.018,3,1,1.00000002,0.5,2,1.25,0,0.5803247,14.15232472
86745912,Arteezy,Evil Geniuses,Core,Carry,6213136339,1633632092,2154,601206,1,95,Troll Warlord,Loss,0.9,2.1,1.116,1.156,5,1,1.2352941,0,0.5,0.75,0,0.9397131,14.6970072
86745912,Arteezy,Evil Geniuses,Core,Carry,6212511010,1633595466,1847,601132,1,19,Tiny,Win,1.2,2.1,0.825,1.164,5,0,1.24137936,0.5,3.5,1,0,1.23068075,17.76106011
86745912,Arteezy,Evil Geniuses,Core,Carry,6212747363,1633612984,2717,601162,1,95,Troll Warlord,Win,1.5,2.7,1.65,1.57,9,3,2.0869566,1,1,0.5,0,1.37452175,25.38147835
86745912,Arteezy,Evil Geniuses,Core,Carry,6212554150,1633599194,2267,601132,1,15,Razor,Win,2.4,2.4,1.233,1.39,4,1,2.0000001,0.5,2.5,1.25,0,0,18.6730001
86745912,Arteezy,Evil Geniuses,Core,Carry,6212858704,1633617746,1655,601162,1,19,Tiny,Win,2.4,3,0.912,1.338,3,0,2.25,0.5,1.5,0,0,1.19585055,16.09585055
86745912,Arteezy,Evil Geniuses,Core,Carry,6213756711,1633687550,1902,601330,1,18,Sven,Loss,0.9,1.5,1.086,1.202,0,0,1.7142858,0.5,1,0.25,0,1.0656184,9.2179042
86745912,Arteezy,Evil Geniuses,Core,Carry,6213705633,1633683966,1786,601330,1,114,Monkey King,Win,3.3,2.7,0.732,1.242,5,1,2.2758621,1,0.5,0.5,4,1.902387,24.1522491
86745912,Arteezy,Evil Geniuses,Core,Carry,6214970840,1633765765,2377,601545,1,70,Ursa,Win,4.2,1.5,0.822,1.158,1,2,2.2258065,0.5,0.5,1,0,0,14.9058065
86745912,Arteezy,Evil Geniuses,Core,Carry,6214921308,1633762811,1283,601545,1,114,Monkey King,Loss,0.9,2.1,0.447,0.812,0,0,1.8,0,1,0,0,0.5157459,7.5747459
