"player_name","team_name","role","position","kills","deaths","creep_score","gold_per_min","tower_kills","roshan_kills","team_fight","obs_wards_planted","camps_stacked","runes_grabbed","first_blood","stuns","total"
"jabz","Fnatic","Support","4",0.936923076923077,1.23230769230769,0.193430769230769,0.588153846153846,0.138461538461538,0.0615384615384615,2.06429963492308,1.92307692307692,1.68461538461538,0.919230769230769,0.430769230769231,2.39677831038462,12.5695856376154
"Oli~","INVICTUS GAMING","Support","5",0.66,1.26,0.13311,0.54196,0.18,0.02,1.8491833701,4.39,1.025,0.56,0.6,1.31590052055,12.53515389065
"fy","Elephant","Support","4",0.974157303370786,1.53707865168539,0.315741573033708,0.63123595505618,0.191011235955056,0.0561797752808989,1.99688164820225,2.64606741573034,1.99438202247191,1.06179775280899,0.629213483146067,1.99961884803371,14.0333656647753
"DJ","Fnatic","Support","5",0.743076923076923,1.56923076923077,0.217015384615385,0.592276923076923,0.246153846153846,0.123076923076923,1.94844911815385,6.52307692307692,1.86153846153846,0.846153846153846,0.492307692307692,0.860673798907692,16.0230306093692
"Saksa","OG","Support","4",1.16875,1.01875,0.2986875,0.65625,0.291666666666667,0.0208333333333333,2.026673088125,3.29166666666667,1.41666666666667,0.994791666666667,0.333333333333333,3.88754822697917,15.4056171484375
"Thiolicor","SG esports","Support","4",0.833333333333333,1.02,0.175133333333333,0.560844444444444,0.111111111111111,0.0444444444444444,2.06593991333333,2.03333333333333,1.85555555555556,1.31666666666667,0.355555555555556,2.34470188144444,12.7166195725556
"Somnus","Elephant","Mid","2",2.38988764044944,1.89438202247191,1.03078651685393,1.15586516853933,1.55056179775281,0.269662921348315,2.05411694898876,0.612359550561798,0.51685393258427,2.4185393258427,0.404494382022472,1.47429416804831,15.771804375464
"Ori","Vici Gaming","Mid","2",2.12357142857143,1.87928571428571,0.981878571428571,1.1282,1.60714285714286,0.235714285714286,2.049437526,0.25,0.946428571428571,3.02142857142857,0.285714285714286,1.55036900510714,16.0591708168214
"YS","Quincy Crew","Core","1",1.996875,2.38125,1.170375,1.2669375,2.78125,0.59375,1.7117054728125,0.015625,0.921875,0.9609375,0.625,1.02338576796875,15.4489662407812
"y`","PSG.LGD","Support","5",0.761029411764706,1.24632352941176,0.189198529411765,0.600205882352941,0.220588235294118,0.0294117647058824,1.87468567742647,5.91911764705882,1.76470588235294,0.810661764705882,0.147058823529412,1.49159421886029,15.054581366875
"SumaiL","OG","Core","1",2.28620689655172,1.96034482758621,1.18070689655172,1.28548275862069,2.68965517241379,0.706896551724138,1.96766703724138,0.275862068965517,0.689655172413793,2.16379310344828,0.206896551724138,1.25410199715517,16.6672690343966
"Miposhka","Team Spirit","Support","5",0.917355371900826,1.36115702479339,0.173479338842975,0.586148760330578,0.107438016528926,0.0330578512396694,1.90249629024793,5.78099173553719,1.23553719008264,0.40702479338843,0.429752066115702,1.53813968342975,14.472578122438
"ChYuaN","Fnatic","Mid","2",1.96615384615385,1.90153846153846,0.864969230769231,1.04526153846154,0.861538461538462,0.261538461538462,2.12838707492308,0.553846153846154,0.715384615384615,1.99615384615385,0.492307692307692,1.58705985961538,14.3741392422308
"tavo","SG esports","Core","3",1.26666666666667,1.56,0.568533333333333,0.842977777777778,0.822222222222222,0.0888888888888889,1.90248196666667,0.0111111111111111,0.255555555555556,0.577777777777778,0.444444444444444,1.35345689922222,9.69411664366667
"Faith_bian","PSG.LGD","Core","3",1.49558823529412,1.69191176470588,0.687860294117647,0.934602941176471,1.02205882352941,0.110294117647059,2.00723577816176,0.0625,0.621323529411765,0.818014705882353,0.382352941176471,1.61554787708456,11.4492910081875
"ST!NG3R","beastcoast","Support","5",0.6328125,0.496875,0.15290625,0.54846875,0.1875,0,1.80233965171875,4.984375,2.5078125,0.671875,0.375,1.45309055201406,13.8130552037328
"Xepher","T1","Support","4",0.828865979381443,1.27113402061856,0.255216494845361,0.590144329896907,0.257731958762887,0.0309278350515464,1.88682236319588,1.52577319587629,1.37113402061856,0.958762886597938,0.412371134020619,2.18511329778351,11.5739975166495
"Nisha","Team Secret","Mid","2",2.25,1.903125,0.9924375,1.168125,1.375,0.25,2.0686458271875,0.53125,1.203125,2.5859375,0.25,1.15445951671875,15.7321053439062
"LIMMP","Alliance","Mid","2",1.686,2.142,0.84978,1.00672,1.24,0.28,2.0432040228,0.7,1.11,3.145,0.48,1.8295565198,16.5122605426
"Nightfall","Virtus.pro","Core","1",2.07647058823529,2.36470588235294,1.17447058823529,1.34796078431373,3.01960784313725,0.529411764705882,1.91852623882353,0.117647058823529,0.57843137254902,1,0.470588235294118,0.773068019313725,15.3708883757843
"SabeRLighT","Undying","Core","3",1.55,1.58888888888889,0.641833333333333,0.959481481481481,0.907407407407407,0.037037037037037,2.12392317,0.0555555555555556,0.296296296296296,0.703703703703704,0.0740740740740741,1.86370236050926,10.801903308287
"Xxs","Team Aster","Core","3",1.44653465346535,2.0049504950495,0.755316831683168,0.927128712871287,0.831683168316832,0.108910891089109,1.90638978504951,0.00495049504950495,0.613861386138614,0.636138613861386,0.435643564356436,1.11781322089109,10.7893218178218
"Raven","Fnatic","Core","1",2.42307692307692,2.24769230769231,1.35715384615385,1.41821538461538,3.75384615384615,0.723076923076923,2.00109339138462,0.00769230769230769,0.746153846153846,0.757692307692308,0.246153846153846,0.806735706076923,16.4885829436154
"old eLeVeN","Vici Gaming","Core","3",1.38,1.44642857142857,0.846835714285714,1.0229,0.935714285714286,0.128571428571429,1.88748315385714,0.0821428571428571,0.582142857142857,0.735714285714286,0.342857142857143,1.43397800478571,10.8247683015
