"player_id","match_id","match_time","match_duration","series_id","series_type","hero_id","win","kills","deaths","creep_score","gold_per_min","tower_kills","roshan_kills","team_fight","obs_wards_planted","camps_stacked","runes_grabbed","first_blood","stuns","total"
"87278757","6225151294",1634378329,2556,603238,1,"128",FALSE,0.3,1.5,0.342,0.554,1,0,2.25,0.5,1.5,1.75,0,0.068295895,9.764295895
"89117038","6225151294",1634378329,2556,603238,1,"112",FALSE,0.6,1.2,0.174,0.5,0,0,1.5,9,1,1.75,4,0.4774658,20.2014658
"121769650","6225151294",1634378329,2556,603238,1,"49",FALSE,1.2,2.1,1.329,1.154,2,0,2.25,0,1,1.25,0,2.2930809,14.5760809
"73562326","6225151294",1634378329,2556,603238,1,"97",FALSE,0,1.8,0.45,0.586,0,0,1.24999998,0,0.5,0.75,0,1.128844,6.46484398
"72312627","6225151294",1634378329,2556,603238,1,"63",FALSE,1.5,1.8,1.398,1.24,1,1,1.5,0.5,0,1.5,0,0,11.438
"898754153","6225151294",1634378329,2556,603238,1,"19",TRUE,4.2,3,1.932,1.83,5,2,2.31818175,0,3,1.75,0,1.2201604,26.25034215
"173978074","6225151294",1634378329,2556,603238,1,"13",TRUE,0.3,2.1,1.347,1.236,0,0,2.4545454,0.5,2,3.25,0,0.7351636,13.922709
"118134220","6225151294",1634378329,2556,603238,1,"77",TRUE,0.6,2.7,1.209,1.146,3,0,2.5909092,0,0,0,0,0.69532595,11.94123515
"157475523","6225151294",1634378329,2556,603238,1,"110",TRUE,0.9,2.1,0.336,0.688,0,0,1.36363641,3,1.5,0.75,0,0,10.63763641
"111114687","6225151294",1634378329,2556,603238,1,"84",TRUE,0.6,1.5,0.039,0.52,0,0,1.63636368,6.5,1,0.75,0,1.078197,13.62356068
"87278757","6225233668",1634382661,3173,603238,1,"91",FALSE,0,1.2,0.111,0.458,0,0,2.14285719,2,2,2.5,0,0.053513185,10.465370375
"89117038","6225233668",1634382661,3173,603238,1,"21",FALSE,0.6,2.1,0.363,0.658,0,0,2.2857144,9.5,1,1.5,0,3.77938425,21.78609865
"121769650","6225233668",1634382661,3173,603238,1,"72",FALSE,2.1,2.1,2.049,1.42,3,1,2.4285714,0,2.5,4.25,0,3.2702395,24.1178109
"73562326","6225233668",1634382661,3173,603238,1,"38",FALSE,0.3,1.8,0.864,0.814,1,0,1.85714292,0.5,0,1,0,2.2058508,10.34099372
"72312627","6225233668",1634382661,3173,603238,1,"70",FALSE,3.3,1.5,1.344,1.188,2,3,2.0000001,0,0,1,0,0.8495591,16.1815592
"898754153","6225233668",1634382661,3173,603238,1,"114",TRUE,2.7,3,1.815,1.41,1,0,2.57142861,0,2,0.5,0,1.6305298,16.62695841
"173978074","6225233668",1634382661,3173,603238,1,"52",TRUE,0.9,1.8,1.599,1.304,2,0,2.4285714,0,1.5,2.5,0,2.8631405,16.8947119
"118134220","6225233668",1634382661,3173,603238,1,"104",TRUE,0.3,1.5,0.633,0.682,2,0,1.7142858,0,1,1,0,0,8.8292858
"157475523","6225233668",1634382661,3173,603238,1,"103",TRUE,2.4,1.8,0.408,0.704,1,0,2.4285714,2,0,1,4,4.7813005,20.5218719
"111114687","6225233668",1634382661,3173,603238,1,"3",TRUE,0,0.3,0.117,0.512,0,0,0.8571429,10,2,0.75,0,2.29612885,16.83227175
"113331514","6227492909",1634489786,2204,603588,2,"112",TRUE,0.3,2.1,0.231,0.64,0,0,1.65517242,5,0.5,0.75,0,0.7086175,11.88478992
"321580662","6227492909",1634489786,2204,603588,2,"109",TRUE,2.7,2.7,1.254,1.548,7,1,2.2758621,0,0,0.75,0,0,19.2278621
"431770905","6227492909",1634489786,2204,603588,2,"106",TRUE,2.1,2.7,0.846,1.176,0,0,2.2758621,0.5,1.5,3,0,2.7638687,16.8617308
"256156323","6227492909",1634489786,2204,603588,2,"3",TRUE,0.9,1.5,0.084,0.598,0,0,2.0689656,2.5,2,0.75,0,2.99524385,13.39620945
"302214028","6227492909",1634489786,2204,603588,2,"97",TRUE,2.4,2.4,0.513,0.942,1,0,2.6896551,1,0.5,0.75,4,2.081442,18.2760971
"898754153","6227492909",1634489786,2204,603588,2,"19",FALSE,1.2,1.5,1.413,1.28,0,0,1.5,0,1,0.5,0,1.95937235,10.35237235
"173978074","6227492909",1634489786,2204,603588,2,"23",FALSE,0.3,1.5,0.933,0.954,0,0,1.7499999,0.5,0.5,2,0,2.07995815,10.51695805
"118134220","6227492909",1634489786,2204,603588,2,"77",FALSE,1.5,2.4,0.87,0.94,2,0,2.4999999,0.5,0.5,0.5,0,0.10164185,11.81164175
"157475523","6227492909",1634489786,2204,603588,2,"101",FALSE,0.3,0.3,0.138,0.458,0,0,1.5,2,0,0.75,0,0,5.446
"111114687","6227492909",1634489786,2204,603588,2,"58",FALSE,0.3,0.6,0.252,0.512,0,0,1.24999998,5,1.5,0.75,0,0.596521,10.76052098
"113331514","6227305557",1634481511,3010,603588,2,"87",FALSE,0.9,0,0.138,0.424,0,0,2.1176472,8,1.5,0.25,4,0,17.3296472
"321580662","6227305557",1634481511,3010,603588,2,"44",FALSE,1.8,0.6,1.566,1.26,1,0,2.1176472,0,0.5,1.5,0,0,10.3436472
"431770905","6227305557",1634481511,3010,603588,2,"74",FALSE,1.2,0,1.002,0.986,1,0,1.41176472,1,1,0.5,0,4.1526315,12.25239622
"256156323","6227305557",1634481511,3010,603588,2,"119",FALSE,0.6,0.9,0.246,0.438,0,0,1.2352941,1.5,1,2.25,0,11.145063,19.3143571
